source_language,target_language,source_text,target_text,table_name,source_comment,weight
uk,en,Азілект,rasagiline,UTIS,http://utis.in.ua/rasagiline/,3
uk,en,Азіт,azithromycin,UTIS,http://utis.in.ua/azithromycin/,3
uk,en,Азітрал,azithromycin,UTIS,http://utis.in.ua/azithromycin/,3
uk,en,Азітро,azithromycin,UTIS,http://utis.in.ua/azithromycin/,3
uk,en,Азітрокс,azithromycin,UTIS,http://utis.in.ua/azithromycin/,3
uk,en,Азітром,azithromycin,UTIS,http://utis.in.ua/azithromycin/,3
uk,en,Азітромакс,azithromycin,UTIS,http://utis.in.ua/azithromycin/,3
uk,en,Азіцин,azithromycin,UTIS,http://utis.in.ua/azithromycin/,3
uk,en,Азо,azithromycin,UTIS,http://utis.in.ua/azithromycin/,3
uk,en,Азогель,azelex,UTIS,http://utis.in.ua/azelex/,3
uk,en,Азопт,azopt,UTIS,http://utis.in.ua/azopt/,3
uk,en,Азот,azot,UTIS,http://utis.in.ua/azot/,3
uk,en,Азоту діоксид,nitrogen-dioxide,UTIS,http://utis.in.ua/nitrogen-dioxide/,3
uk,en,Азоту закис,nitrogen-oxide,UTIS,http://utis.in.ua/nitrogen-oxide/,3
uk,en,Азоту оксид,nitric-oxide,UTIS,http://utis.in.ua/nitric-oxide/,3
uk,en,Азоту (IV) оксид,nitrogen-dioxide,UTIS,http://utis.in.ua/nitrogen-dioxide/,3
uk,en,Азро,azithromycin,UTIS,http://utis.in.ua/azithromycin/,3
uk,en,Азтреонам,aztreonam,UTIS,http://utis.in.ua/aztreonam/,3
uk,en,Азульфідін,sulfasalazine,UTIS,http://utis.in.ua/sulfasalazine/,3
uk,en,Айра-сановель,candesartan,UTIS,http://utis.in.ua/candesartan/,3
uk,en,Акампросат,akamprosat,UTIS,http://utis.in.ua/akamprosat/,3
uk,en,Акарбоза,akarbose,UTIS,http://utis.in.ua/akarbose/,3
uk,en,Акатинбол мемантин,memantine,UTIS,http://utis.in.ua/memantine/,3
uk,en,Аквахлорал,chloralhydrate,UTIS,http://utis.in.ua/chloralhydrate/,3
uk,en,АКДС,diphtheria-tetanus-pertussis-vaccine,UTIS,http://utis.in.ua/diphtheria-tetanus-pertussis-vaccine/,3
uk,en,Акінетон,biperiden,UTIS,http://utis.in.ua/biperiden/,3
uk,en,Аккупро,quinapril,UTIS,http://utis.in.ua/quinapril/,3
uk,en,Аккутан,isotretinoin,UTIS,http://utis.in.ua/isotretinoin/,3
uk,en,Аклідініум бромід,aclidinium-bromide,UTIS,http://utis.in.ua/aclidinium-bromide/,3
uk,en,Акловат,alclometasone,UTIS,http://utis.in.ua/alclometasone/,3
uk,en,Аклометазону дипропіонат,alclometasone,UTIS,http://utis.in.ua/alclometasone/,3
uk,en,Акне-дерм,azelex,UTIS,http://utis.in.ua/azelex/,3
uk,en,Акнекутан,isotretinoin,UTIS,http://utis.in.ua/isotretinoin/,3
uk,en,Бензоїл пероксид,benzoyl-peroxide,UTIS,http://utis.in.ua/benzoyl-peroxide/,3
uk,en,Бензокаїн,benzocaine,UTIS,http://utis.in.ua/benzocaine/,3
uk,en,Бензол,benzene,UTIS,http://utis.in.ua/benzene/,3
uk,en,Бензотропін,benztropine,UTIS,http://utis.in.ua/benztropine/,3
uk,en,Бензфетамін,benzphetamine,UTIS,http://utis.in.ua/benzphetamine/,3
uk,en,Бенікар,olmesartan,UTIS,http://utis.in.ua/olmesartan/,3
uk,en,Беніцар,olmesartan,UTIS,http://utis.in.ua/olmesartan/,3
uk,en,Бенлат,benlate,UTIS,http://utis.in.ua/benlate/,3
uk,en,Бенліста,belimumab,UTIS,http://utis.in.ua/belimumab/,3
uk,en,Беноміл,benlate,UTIS,http://utis.in.ua/benlate/,3
uk,en,Бентил,dicyclomine,UTIS,http://utis.in.ua/dicyclomine/,3
uk,en,Бепостатин офтальмологічний,bepotastine-ophthalmic,UTIS,http://utis.in.ua/bepotastine-ophthalmic/,3
uk,en,Бепотас,bepotastine-ophthalmic,UTIS,http://utis.in.ua/bepotastine-ophthalmic/,3
uk,en,Бепотастін,bepotastine-ophthalmic,UTIS,http://utis.in.ua/bepotastine-ophthalmic/,3
uk,en,Бепридил,bepridil,UTIS,http://utis.in.ua/bepridil/,3
uk,en,Берберин,berberine,UTIS,http://utis.in.ua/berberine/,3
uk,en,Берилій,beryllium,UTIS,http://utis.in.ua/beryllium/,3
uk,en,Беринерт,berinert,UTIS,http://utis.in.ua/berinert/,3
uk,en,Берінерт,berinert,UTIS,http://utis.in.ua/berinert/,3
uk,en,Беротек,fenoterol,UTIS,http://utis.in.ua/fenoterol/,3
uk,en,Бесиванс,besifloxacin,UTIS,http://utis.in.ua/besifloxacin/,3
uk,en,Бестум,ceftazidime,UTIS,http://utis.in.ua/ceftazidime/,3
uk,en,Бета-гексахлор-циклогексан,hexachlorocyclohexane,UTIS,http://utis.in.ua/hexachlorocyclohexane/,3
uk,en,Бета-ГХЦ,hexachlorocyclohexane,UTIS,http://utis.in.ua/hexachlorocyclohexane/,3
uk,en,Бетадин,povidone-iodine,UTIS,http://utis.in.ua/povidone-iodine/,3
uk,en,Бета агалсидаза,agalsidase-beta,UTIS,http://utis.in.ua/agalsidase-beta/,3
uk,en,Бета епоетин,erythropoietin,UTIS,http://utis.in.ua/erythropoietin/,3
uk,en,Бета епоетин (епостін),erythropoietin,UTIS,http://utis.in.ua/erythropoietin/,3
uk,en,Бета епоетин (мірцера),erythropoietin,UTIS,http://utis.in.ua/erythropoietin/,3
uk,en,Бета епоетин (рекормон),erythropoietin,UTIS,http://utis.in.ua/erythropoietin/,3
uk,en,Бетазон,betamethasone,UTIS,http://utis.in.ua/betamethasone/,3
uk,en,Бета-кардон,sotalol,UTIS,http://utis.in.ua/sotalol/,3
uk,en,Бета-каротин,beta-carotene,UTIS,http://utis.in.ua/beta-carotene/,3
uk,en,Бетакортен,betamethasone,UTIS,http://utis.in.ua/betamethasone/,3
uk,en,Бетаксолол,betaxolol,UTIS,http://utis.in.ua/betaxolol/,3
uk,en,Бетаметазон,betamethasone,UTIS,http://utis.in.ua/betamethasone/,3
uk,en,Бетаметазону валерат,betamethasone,UTIS,http://utis.in.ua/betamethasone/,3
uk,en,Бетанехол,bethanechol,UTIS,http://utis.in.ua/bethanechol/,3
