"url","title","source","language","page_name","title_latin_name","title_latin_name_has_asterisk","title_uk_name"
"https://compendium.com.ua/uk/akt/67/272/centaurium-vulgare-raf-pulchellum-swartz-druce/","ЗОЛОТОТИСЯЧНИК ЗВИЧАЙНИЙ/ГАРНИЙ*& (CENTAURIUM VULGARE RAF./PULCHELLUM (SWARTZ) DRUCE*&)","compendium.com.ua","uk","centaurium-vulgare-raf-pulchellum-swartz-druce","SWARTZ",False,"ЗОЛОТОТИСЯЧНИК ЗВИЧАЙНИЙ/ГАРНИЙ*&"
"https://compendium.com.ua/uk/akt/83/856100/solidago-virgaurea/","ЗОЛОТУШНИК ЗВИЧАЙНИЙ&amp; (SOLIDAGO VIRGAUREA&amp;)","compendium.com.ua","uk","solidago-virgaurea","SOLIDAGO VIRGAUREA&amp;",False,"ЗОЛОТУШНИК ЗВИЧАЙНИЙ&amp;"
"https://compendium.com.ua/uk/akt/90/3139/zopiclonum/","ЗОПІКЛОН (ZOPICLONUM)","compendium.com.ua","uk","zopiclonum","ZOPICLONUM",False,"ЗОПІКЛОН"
"https://compendium.com.ua/uk/akt/90/75277/zofenoprilum/","ЗОФЕНОПРИЛ (ZOFENOPRILUM)","compendium.com.ua","uk","zofenoprilum","ZOFENOPRILUM",False,"ЗОФЕНОПРИЛ"
"https://compendium.com.ua/uk/akt/90/44/zuclopenthixol/","ЗУКЛОПЕНТИКСОЛ (ZUCLOPENTHIXOL)","compendium.com.ua","uk","zuclopenthixol","ZUCLOPENTHIXOL",False,"ЗУКЛОПЕНТИКСОЛ"
"https://compendium.com.ua/uk/akt/76/132150/lacosamidum/","ЛАКОСАМІД (LACOSAMIDUM)","compendium.com.ua","uk","lacosamidum","LACOSAMIDUM",False,"ЛАКОСАМІД"
"https://compendium.com.ua/uk/akt/76/1518/lactulosum/","ЛАКТУЛОЗА (LACTULOSUM)","compendium.com.ua","uk","lactulosum","LACTULOSUM",False,"ЛАКТУЛОЗА"
"https://compendium.com.ua/uk/akt/76/202/lamivudinum/","ЛАМІВУДИН (LAMIVUDINUM)","compendium.com.ua","uk","lamivudinum","LAMIVUDINUM",False,"ЛАМІВУДИН"
"https://compendium.com.ua/uk/akt/76/857363/laminaria/","ЛАМІНАРІЯ* (LAMINARIA*)","compendium.com.ua","uk","laminaria","LAMINARIA",True,"ЛАМІНАРІЯ"
"https://compendium.com.ua/uk/akt/76/3056/lamotriginum/","Ламотриджин (Lamotriginum)","compendium.com.ua","uk","lamotriginum","Lamotriginum",False,"Ламотриджин"
"https://compendium.com.ua/uk/akt/76/1419/lanatosidum-c/","ЛАНАТОЗИД С (LANATOSIDUM C)","compendium.com.ua","uk","lanatosidum-c","LANATOSIDUM C",False,"ЛАНАТОЗИД С"
"https://compendium.com.ua/uk/akt/76/54848/lanreotidum/","ЛАНРЕОТИД (LANREOTIDUM)","compendium.com.ua","uk","lanreotidum","LANREOTIDUM",False,"ЛАНРЕОТИД"
"https://compendium.com.ua/uk/akt/76/315/lansoprazolum/","ЛАНСОПРАЗОЛ (LANSOPRAZOLUM)","compendium.com.ua","uk","lansoprazolum","LANSOPRAZOLUM",False,"ЛАНСОПРАЗОЛ"
